frame,distance
124,2.26861505712881
125,2.27322303575757
126,0.959597841085444
127,1.26567569045762
128,1.51258828904734
129,1.00330844400841
130,0.718679952878952
131,0.160502581349308
132,0.300682762122257
133,0.347007138437264
134,0.666686928640064
135,0.251327753182093
136,0.95468948301684
137,0.5330046743083
138,1.4323049661385
139,1.15514978425036
140,0.561675689100845
141,0.550274719165576
142,0.686241345503278
143,0.808608613254916
144,0.657728699218863
145,1.25666102159826
146,0.774457163085374
147,0.858627374662017
148,0.735530310665116
149,1.42486336322438
150,1.40266386826633
151,0.955915677691824
152,1.23530070387472
153,0.845789435845866
154,0.522085592540127
155,0.747006801526261
156,0.688960393535607
157,1.4523532281275
158,1.08305466638385
159,1.11475838615796
160,1.61052846825708
161,1.50549876096789
162,1.94644093593107
163,1.48069159250919
164,1.40994348529438
165,0.465687676757923
166,0.748480738281577
167,0.771561466330422
168,0.632885160765126
169,0.207601300413666
170,0.539095973354498
171,1.28267464183051
172,0.854368417431551
173,0.892056109417348
174,0.193971477104863
175,0.105149972921907
176,0.65220505071456
177,0.325526627394025
178,0.509659848969024
179,1.37775729556901
180,0.875995650631944
181,0.335955853174835
182,0.292912369589644
183,0.310567503963633
184,0.703632311963166
185,0.748682779241988
186,0.528737296509665
187,0.474702354016058
188,0.608118427728099
189,0.972917940861396
190,0.220583105795278
191,0.178255175184371
192,0.968489527693358
193,0.575415910187585
194,0.509798900874235
195,0.420150314797972
