area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,105,334,0,0,0,0,0
a1,105,334,1,7,7,6.7,2.1
a1,105,334,2,26,26,24.8,7.8
a1,105,334,3,48,52,45.7,15.6
a1,105,334,4,69,79,65.7,23.7
a1,105,334,5,83,121,79,36.2
a4,23,521,0,0,0,0,0
a4,23,521,1,0,0,0,0
a4,23,521,2,3,3,13,0.6
a4,23,521,3,8,8,34.8,1.5
a4,23,521,4,13,15,56.5,2.9
a4,23,521,5,17,21,73.9,4
a6,111,73,0,0,0,0,0
a6,111,73,1,3,3,2.7,4.1
a6,111,73,2,5,5,4.5,6.8
a6,111,73,3,15,15,13.5,20.5
a6,111,73,4,25,27,22.5,37
a6,111,73,5,30,32,27,43.8
a8,79,47,0,0,0,0,0
a8,79,47,1,2,2,2.5,4.3
a8,79,47,2,9,9,11.4,19.1
a8,79,47,3,12,12,15.2,25.5
a8,79,47,4,20,21,25.3,44.7
a8,79,47,5,23,22,29.1,46.8
