area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,81,291,0,0,0,0,0
a1,81,291,1,5,5,6.2,1.7
a1,81,291,2,10,10,12.3,3.4
a1,81,291,3,22,22,27.2,7.6
a1,81,291,4,36,42,44.4,14.4
a1,81,291,5,55,67,67.9,23
a2,11,137,0,0,0,0,0
a2,11,137,1,0,0,0,0
a2,11,137,2,1,1,9.1,0.7
a2,11,137,3,1,1,9.1,0.7
a2,11,137,4,3,3,27.3,2.2
a2,11,137,5,6,5,54.5,3.6
a3,101,97,0,0,0,0,0
a3,101,97,1,1,1,1,1
a3,101,97,2,8,8,7.9,8.2
a3,101,97,3,13,13,12.9,13.4
a3,101,97,4,21,19,20.8,19.6
a3,101,97,5,31,29,30.7,29.9
a4,28,5,0,0,0,0,0
a4,28,5,1,0,0,0,0
a4,28,5,2,0,0,0,0
a4,28,5,3,0,0,0,0
a4,28,5,4,1,1,3.6,20
a4,28,5,5,1,1,3.6,20
a5,12,124,0,0,0,0,0
a5,12,124,1,0,0,0,0
a5,12,124,2,0,0,0,0
a5,12,124,3,1,1,8.3,0.8
a5,12,124,4,4,4,33.3,3.2
a5,12,124,5,4,4,33.3,3.2
a6,36,8,0,0,0,0,0
a6,36,8,1,0,0,0,0
a6,36,8,2,0,0,0,0
a6,36,8,3,0,0,0,0
a6,36,8,4,0,0,0,0
a6,36,8,5,0,0,0,0
