area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,38,128,0,0,0,0,0
a1,38,128,1,3,3,7.9,2.3
a1,38,128,2,8,8,21.1,6.3
a1,38,128,3,10,10,26.3,7.8
a1,38,128,4,12,12,31.6,9.4
a1,38,128,5,16,19,42.1,14.8
a2,43,50,0,0,0,0,0
a2,43,50,1,6,6,14,12
a2,43,50,2,8,8,18.6,16
a2,43,50,3,9,9,20.9,18
a2,43,50,4,13,14,30.2,28
a2,43,50,5,13,16,30.2,32
a4,40,178,0,0,0,0,0
a4,40,178,1,3,3,7.5,1.7
a4,40,178,2,5,5,12.5,2.8
a4,40,178,3,7,7,17.5,3.9
a4,40,178,4,15,18,37.5,10.1
a4,40,178,5,18,24,45,13.5
a6,58,103,0,0,0,0,0
a6,58,103,1,1,1,1.7,1
a6,58,103,2,3,3,5.2,2.9
a6,58,103,3,5,5,8.6,4.9
a6,58,103,4,7,8,12.1,7.8
a6,58,103,5,13,13,22.4,12.6
a8,84,108,0,0,0,0,0
a8,84,108,1,3,3,3.6,2.8
a8,84,108,2,5,5,6,4.6
a8,84,108,3,9,9,10.7,8.3
a8,84,108,4,13,13,15.5,12
a8,84,108,5,18,19,21.4,17.6
