area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,8,166,0,0,0,0,0
a1,8,166,1,0,0,0,0
a1,8,166,2,1,1,12.5,0.6
a1,8,166,3,1,1,12.5,0.6
a1,8,166,4,2,3,25,1.8
a1,8,166,5,4,7,50,4.2
a2,28,14,0,0,0,0,0
a2,28,14,1,0,0,0,0
a2,28,14,2,0,0,0,0
a2,28,14,3,0,0,0,0
a2,28,14,4,0,0,0,0
a2,28,14,5,0,0,0,0
a3,24,112,0,0,0,0,0
a3,24,112,1,1,1,4.2,0.9
a3,24,112,2,4,4,16.7,3.6
a3,24,112,3,4,4,16.7,3.6
a3,24,112,4,5,5,20.8,4.5
a3,24,112,5,6,6,25,5.4
a5,48,150,0,0,0,0,0
a5,48,150,1,0,0,0,0
a5,48,150,2,2,2,4.2,1.3
a5,48,150,3,5,6,10.4,4
a5,48,150,4,10,14,20.8,9.3
a5,48,150,5,10,17,20.8,11.3
a6,97,96,0,0,0,0,0
a6,97,96,1,2,2,2.1,2.1
a6,97,96,2,5,5,5.2,5.2
a6,97,96,3,7,7,7.2,7.3
a6,97,96,4,14,14,14.4,14.6
a6,97,96,5,21,23,21.6,24
