area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,31,11,0,0,0,0,0
a1,31,11,1,0,0,0,0
a1,31,11,2,1,1,3.2,9.1
a1,31,11,3,1,1,3.2,9.1
a1,31,11,4,1,1,3.2,9.1
a1,31,11,5,1,1,3.2,9.1
a2,64,259,0,0,0,0,0
a2,64,259,1,2,2,3.1,0.8
a2,64,259,2,9,9,14.1,3.5
a2,64,259,3,14,14,21.9,5.4
a2,64,259,4,21,22,32.8,8.5
a2,64,259,5,25,27,39.1,10.4
a4,102,256,0,0,0,0,0
a4,102,256,1,3,3,2.9,1.2
a4,102,256,2,9,9,8.8,3.5
a4,102,256,3,17,17,16.7,6.6
a4,102,256,4,29,34,28.4,13.3
a4,102,256,5,38,44,37.3,17.2
a5,25,86,0,0,0,0,0
a5,25,86,1,0,0,0,0
a5,25,86,2,2,2,8,2.3
a5,25,86,3,5,5,20,5.8
a5,25,86,4,10,9,40,10.5
a5,25,86,5,12,13,48,15.1
a7,64,20,0,0,0,0,0
a7,64,20,1,0,0,0,0
a7,64,20,2,0,0,0,0
a7,64,20,3,1,1,1.6,5
a7,64,20,4,1,1,1.6,5
a7,64,20,5,1,1,1.6,5
a8,32,28,0,0,0,0,0
a8,32,28,1,0,0,0,0
a8,32,28,2,0,0,0,0
a8,32,28,3,0,0,0,0
a8,32,28,4,0,0,0,0
a8,32,28,5,1,1,3.1,3.6
